Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
124.969777316,127.74266561,116.0026129612,1.1012050707,1.0221884711,0.9282453362,-262818,-325283,-199277,0.9568983493,0.9005753024,0.8987779792
138.8446718638,135.0287359978,113.636528969,1.188251148,0.9725165121,0.8184435704,-515807,-370961,-144541,0.912282327,0.9015066764,0.8509423849
101.1455555249,96.5048488262,80.9471392139,1.1921959165,0.9541185307,0.8003034715,-371995,-10018,-71121,0.9529758928,0.947744225,0.9008740877
115.0309507395,123.1002992934,100.4504224497,1.2254831417,1.0701493685,0.8732469114,-112609,-103023,-57149,0.9319014045,0.9128728809,0.9106188163
131.9870463174,131.6672240096,106.6185280491,1.2349375518,0.9975768659,0.8077953937,-356705,-357454,-182633,0.9522586462,0.9349236837,0.9244635427
140.8081826264,139.3135293708,121.0350183321,1.1510183688,0.9893851818,0.8595737554,-527497,-922201,-816396,0.947245085,0.9414417786,0.9018377638
148.1976744473,134.4811622027,117.2640342589,1.1468236024,0.9074444839,0.7912677085,-387682,-8409,-43243,0.9325568788,0.955254297,0.8736541977
112.219620083,118.3956110044,98.6659634332,1.1999640695,1.0550348586,0.8792220412,-52002,-77805,-55029,0.9536388187,0.902790575,0.9084411905
134.358045629,116.81221126,103.7342493287,1.1260717845,0.8694098721,0.772073223,-57876,-48,-2522,0.9107152802,0.9607515395,0.8384453371
146.8160261127,138.2953796014,117.4295967602,1.1776875968,0.9419637846,0.7998418147,-81440,-256636,-740134,0.947881032,0.9512794307,0.9048031449
145.9455432947,132.8438517535,100.190419619,1.3259137177,0.9102289029,0.6864918062,-91175,-202592,-766279,0.9168919965,0.9399394018,0.830651955
146.4829289987,130.8201971848,101.5633038363,1.288065593,0.8930746953,0.6933456651,-10666,-16334,-31041,0.9144554385,0.936981217,0.7946800603
148.8457406867,140.9391635631,114.357207683,1.2324467029,0.9468807298,0.7682934504,-1075082,-1144740,-1570191,0.9349123422,0.922219228,0.8241630243
149.304756459,141.4418532915,113.98875936,1.2408403608,0.9473365527,0.7634636837,-17675,-4055,-1036314,0.9538908321,0.945809124,0.8663680968
166.1694303677,151.8805812378,126.977797186,1.1961192004,0.9140103622,0.7641465515,-16108,-3007,-553686,0.9548167522,0.9687464986,0.8830996919
167.0267679961,156.4091942766,130.7400203474,1.1963375397,0.9364319034,0.7827489085,-6803,-597,-1308,0.9427673971,0.9441322744,0.8412258097
169.4475594609,178.5885663242,169.7308719832,1.0521867014,1.053945934,1.0016719776,-20213,-17582,-436003,0.8957797677,0.984280079,0.85301902
134.8300152482,131.172916453,124.3881922855,1.0545447606,0.9728762265,0.9225556495,-1126650,-1131572,-1071393,0.9498289587,0.9735678704,0.9101956556
123.8650236351,127.2099904855,103.06478855,1.2342720756,1.0270049345,0.8320733773,-3826,-105,-9834,0.9655070625,0.9375633372,0.9249554548
151.3146221936,149.905330191,128.4595814166,1.1669454979,0.9906863462,0.8489568262,-165209,-22188,-96783,0.9670570254,0.9416269123,0.8962869626
114.126428741,116.8219874056,97.1666318995,1.2022850347,1.0236190573,0.8513946592,-60314,26807,-1508453,0.9870853504,0.9618766711,0.9540649234
143.3312896329,140.9037911485,124.8450049052,1.1286297858,0.9830637226,0.8710240815,-245026,-137389,-150807,0.9458767662,0.9574899573,0.9127693241
120.5143506975,122.0777181503,91.6726444801,1.3316700837,1.0129724588,0.7606782425,-98345,-48309,-28933,0.9749769413,0.9341869423,0.9204605286
111.4051260264,112.3905586712,100.1755885101,1.1219355967,1.0088454875,0.8992008903,-137631,-79231,-82013,0.9614191338,0.953697819,0.9089862283
118.1700412176,117.0559644326,87.0877234468,1.344115563,0.9905722569,0.7369695614,-74546,-658667,-568702,0.9327183417,0.9222449844,0.9190633207
129.2611024755,135.8374967616,95.3391022973,1.4247826284,1.0508768234,0.7375699299,-19449,-13964,-1100072,0.963812511,0.9162510928,0.9130603577
140.7048237412,150.2301863388,121.9009596392,1.2323954363,1.0676974843,0.8663594921,-123063,-225065,-86229,0.9314701141,0.8756712047,0.9188593645
134.7665721789,140.416404639,102.2627474632,1.373094388,1.0419230998,0.7588138943,-1077314,-1239249,-1084265,0.9427883716,0.8993444078,0.9158739171
132.6988757634,137.370074982,103.625462247,1.3256401661,1.0352014981,0.7809068589,-117929,-130449,-845953,0.9447185154,0.9185956298,0.9262020076
135.8191681428,146.1752856331,108.9082442209,1.3421875146,1.0762493073,0.8018621061,-1236969,-2011303,-1897901,0.9664656511,0.9232098154,0.9465382631
123.2238608538,126.0886728449,91.5810745368,1.3767983558,1.0232488413,0.7432089362,-657227,-716436,-1208824,0.9654928046,0.947568157,0.9429054301
120.2744750078,128.5070637322,93.3852821186,1.3760954705,1.0684483447,0.7764347515,-1298490,-1411491,-1247726,0.9667169151,0.8910947563,0.9192213458
140.6302635663,132.7818975896,110.2255415128,1.204638197,0.9441914864,0.7837967356,-151156,-45224,-169373,0.9206133121,0.9284708729,0.850377581
120.1805443501,113.9597369236,96.0562664877,1.1863852416,0.9482378162,0.7992663622,-76479,-4301,-7684,0.9231544491,0.9470716729,0.8526130559
152.6888116998,154.4019514483,111.5085587198,1.3846645784,1.0112198119,0.730299473,-252945,-21661,-10264,0.9766040046,0.9111395337,0.8980902694
157.6913993459,155.8672290069,110.8472136469,1.4061447634,0.9884320239,0.702937599,-30903,-2823,-34103,0.9816665019,0.888144081,0.8652724627
164.0159153016,150.8537210224,132.4900306214,1.1386043185,0.9197505056,0.807787649,-32580,71793,-1653645,0.9519829691,0.9565378457,0.9266886493
164.2018474098,162.6202612287,152.3602676035,1.0673403492,0.9903680366,0.9278840038,-7909,-70690,-2960243,0.9780343469,0.976606444,0.9610549141
128.9046930397,129.7687146739,103.5486728646,1.2532146582,1.0067027942,0.8032963767,-565576,-232607,-180407,0.9347089441,0.9188630404,0.9328778072
157.2478191214,151.8061288163,122.8881704225,1.2353193012,0.9653941763,0.7814936392,-398415,-201050,-8850,0.9480387415,0.9321329665,0.9081647614
168.6700923409,147.4223671648,124.1697352995,1.1872648903,0.8740279033,0.7361692495,-278016,-124571,-26071,0.9178833383,0.948614333,0.8622227595
158.8398923254,139.1461635802,122.8969305946,1.1322183793,0.8760152223,0.7737157763,-504963,-583682,-1276047,0.9525861602,0.9700050246,0.9255000992
176.3061002136,141.1853067926,118.4635635297,1.1918036448,0.8007964933,0.6719198223,-137812,124,-3406,0.9149290313,0.9722097417,0.8225902454
112.8690936935,111.1036093237,107.0349038388,1.0380128849,0.984358124,0.9483101205,380,1043,3444,0.9853499464,0.9905755794,0.9626980972
123.4854256585,119.7829329604,113.0717677068,1.059353147,0.9700167637,0.915668931,-7997,-3573,636,0.9887919175,0.9919330071,0.9700504255
127.4243138789,125.7251905536,120.0514142917,1.0472612197,0.986665627,0.9421389893,-103417,-2980,626,0.9820818704,0.9893305237,0.9589227116
127.1084095745,125.7078398534,119.0086890761,1.0562912744,0.9889812977,0.9362770683,-588037,-98075,3904,0.9840955869,0.9874967696,0.9624433018
