Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
119.5196915,110.2720298,102.2461343,1.078495833,0.922626459,0.855475219,-46775,-9956,-214545,0.885675003,0.957854728,0.808909332
107.6379941,93.69243037,78.77741183,1.189331157,0.870440137,0.731873652,-330889,-82406,-497409,0.931812644,0.946647531,0.879278611
121.7791087,117.4584424,89.77501877,1.308364443,0.964520464,0.737195564,-4534,-5239,-323371,0.916861498,0.881993206,0.867502059
100.1200873,89.6172295,66.72804938,1.343021868,0.895097397,0.666480136,-22164,-10887,-420271,0.910250864,0.905789932,0.848529089
111.3246256,97.90144917,81.9618281,1.194476154,0.879423116,0.736241669,-6752,-885,-277414,0.915282912,0.928736864,0.882693181
87.73658404,89.89451611,77.53316173,1.159433126,1.024595579,0.883703903,-78308,-101598,-115090,0.945372662,0.819072489,0.845927304
90.60182146,87.42164389,68.32974429,1.279408328,0.964899408,0.754176276,-183073,-35025,-313236,0.916151549,0.861826516,0.843378078
103.3837905,97.21625404,82.54459997,1.177742143,0.940343293,0.79842884,-280409,-63124,-141795,0.947198705,0.915500909,0.880604814
69.98922479,77.01016224,57.57824624,1.337487111,1.100314548,0.82267301,-8066,-20838,-164066,0.927970843,0.869721751,0.899473702
87.26592297,87.14367966,68.25322774,1.276770089,0.998599186,0.782129214,-55165,-98002,-256458,0.941386542,0.901922258,0.910227301
91.71194272,88.94737256,72.10355337,1.233605951,0.969855942,0.7861959,-50650,-3215,-116349,0.946013274,0.916542818,0.864829515
